datetime;pulses_per_minute
2022-12-24 5:35:54;15
2022-12-24 5:36:54;14
2022-12-24 5:37:54;19
2022-12-24 5:38:54;23
2022-12-24 5:39:54;20
2022-12-24 5:40:54;20
2022-12-24 5:41:54;25
2022-12-24 5:42:54;19
2022-12-24 5:43:54;17
2022-12-24 5:44:54;12
2022-12-24 5:45:54;23
2022-12-24 5:46:54;20
2022-12-24 5:47:54;21
2022-12-24 5:48:54;22
2022-12-24 5:49:54;16
2022-12-24 5:50:54;23
2022-12-24 5:51:54;24
2022-12-24 5:52:54;17
2022-12-24 5:53:54;13
2022-12-24 5:54:54;19
2022-12-24 5:55:54;14
2022-12-24 5:56:54;7
2022-12-24 5:57:54;19
2022-12-24 5:58:54;20
2022-12-24 5:59:54;10
2022-12-24 6:0:54;15
2022-12-24 6:1:54;16
2022-12-24 6:2:54;16
2022-12-24 6:3:54;9
2022-12-24 6:4:54;15
2022-12-24 6:5:54;10
2022-12-24 6:6:54;21
2022-12-24 6:7:54;12
2022-12-24 6:8:54;19
2022-12-24 6:9:54;21
2022-12-24 6:10:54;18
2022-12-24 6:11:54;17
2022-12-24 6:12:54;16
2022-12-24 6:13:54;10
2022-12-24 6:14:54;18
2022-12-24 6:15:54;13
2022-12-24 6:16:54;16
2022-12-24 6:17:54;27
2022-12-24 6:18:54;20
2022-12-24 6:19:54;16
2022-12-24 6:20:54;17
2022-12-24 6:21:54;20
2022-12-24 6:22:54;9
2022-12-24 6:23:54;26
2022-12-24 6:24:54;9
2022-12-24 6:25:54;25
2022-12-24 6:26:54;22
2022-12-24 6:27:54;15
2022-12-24 6:28:54;14
2022-12-24 6:29:54;22
2022-12-24 6:30:54;20
2022-12-24 6:31:54;18
2022-12-24 6:32:54;20
2022-12-24 6:33:54;14
2022-12-24 6:34:54;19
2022-12-24 6:35:54;14
2022-12-24 6:36:54;17
2022-12-24 6:37:54;8
2022-12-24 6:38:54;15
2022-12-24 6:39:54;15
2022-12-24 6:40:54;17
2022-12-24 6:41:54;16
2022-12-24 6:42:54;17
2022-12-24 6:43:54;20
2022-12-24 6:44:54;13
2022-12-24 6:45:54;17
2022-12-24 6:46:55;18
2022-12-24 6:47:55;15
2022-12-24 6:48:55;19
2022-12-24 6:49:55;19
2022-12-24 6:50:55;15
2022-12-24 6:51:55;12
2022-12-24 6:52:55;25
2022-12-24 6:53:55;14
2022-12-24 6:54:55;18
2022-12-24 6:55:55;23
2022-12-24 6:56:55;23
2022-12-24 6:57:55;18
2022-12-24 6:58:55;13
2022-12-24 6:59:55;17
2022-12-24 7:0:55;25
2022-12-24 7:1:55;24
2022-12-24 7:2:55;14
2022-12-24 7:3:55;10
2022-12-24 7:4:55;17
2022-12-24 7:5:55;18
2022-12-24 7:6:55;16
2022-12-24 7:7:55;16
2022-12-24 7:8:55;19
2022-12-24 7:9:55;19
2022-12-24 7:10:55;22
2022-12-24 7:11:55;25
2022-12-24 7:12:55;18
2022-12-24 7:13:55;26
2022-12-24 7:14:55;20
2022-12-24 7:15:55;12
2022-12-24 7:16:55;25
2022-12-24 7:17:55;19
2022-12-24 7:18:55;16
2022-12-24 7:19:55;21
2022-12-24 7:20:55;15
2022-12-24 7:21:55;19
2022-12-24 7:22:55;14
2022-12-24 7:23:55;20
2022-12-24 7:24:55;23
2022-12-24 7:25:55;19
2022-12-24 7:26:55;29
2022-12-24 7:27:55;16
2022-12-24 7:28:55;11
2022-12-24 7:29:55;10
2022-12-24 7:30:55;26
2022-12-24 7:31:55;10
2022-12-24 7:32:55;23
2022-12-24 7:33:55;20
2022-12-24 7:34:55;15
2022-12-24 7:35:55;17
2022-12-24 7:36:55;19
2022-12-24 7:37:55;19
2022-12-24 7:38:55;18
2022-12-24 7:39:55;17
2022-12-24 7:40:55;11
2022-12-24 7:41:55;26
2022-12-24 7:42:55;29
2022-12-24 7:43:55;18
2022-12-24 7:44:55;16
2022-12-24 7:45:55;16
2022-12-24 7:46:55;13
2022-12-24 7:47:55;23
2022-12-24 7:48:55;16
2022-12-24 7:49:55;14
2022-12-24 7:50:55;11
2022-12-24 7:51:55;14
2022-12-24 7:52:55;17
2022-12-24 7:53:55;21
2022-12-24 7:54:55;15
2022-12-24 7:55:55;14
2022-12-24 7:56:55;18
2022-12-24 7:57:55;19
2022-12-24 7:58:55;21
2022-12-24 7:59:55;20
2022-12-24 8:0:55;14
2022-12-24 8:1:55;20
2022-12-24 8:2:55;22
2022-12-24 8:3:55;15
2022-12-24 8:4:55;12
2022-12-24 8:5:55;8
2022-12-24 8:6:55;19
2022-12-24 8:7:55;19
2022-12-24 8:8:55;20
2022-12-24 8:9:55;11
2022-12-24 8:10:55;18
2022-12-24 8:11:55;15
2022-12-24 8:12:55;16
2022-12-24 8:13:55;13
2022-12-24 8:14:55;13
2022-12-24 8:15:55;19
2022-12-24 8:16:55;9
2022-12-24 8:17:55;12
2022-12-24 8:18:55;19
2022-12-24 8:19:55;19
2022-12-24 8:20:55;25
2022-12-24 8:21:55;19
2022-12-24 8:22:55;15
2022-12-24 8:23:55;22
2022-12-24 8:24:55;15
2022-12-24 8:25:55;12
2022-12-24 8:26:55;21
2022-12-24 8:27:55;17
2022-12-24 8:28:55;14
2022-12-24 8:29:55;24
2022-12-24 8:30:55;15
2022-12-24 8:31:55;14
2022-12-24 8:32:55;11
2022-12-24 8:33:55;14
2022-12-24 8:34:55;18
2022-12-24 8:35:55;16
2022-12-24 8:36:55;15
2022-12-24 8:37:55;26
2022-12-24 8:38:55;28
2022-12-24 8:39:55;17
2022-12-24 8:40:55;17
2022-12-24 8:41:55;17
2022-12-24 8:42:55;24
2022-12-24 8:43:55;15
2022-12-24 8:44:55;22
2022-12-24 8:45:55;12
2022-12-24 8:46:55;17
2022-12-24 8:47:55;16
2022-12-24 8:48:55;16
2022-12-24 8:49:55;24
2022-12-24 8:50:55;22
2022-12-24 8:51:55;15
2022-12-24 8:52:55;24
2022-12-24 8:53:55;16
2022-12-24 8:54:55;18
2022-12-24 8:55:55;15
2022-12-24 8:56:55;16
2022-12-24 8:57:55;11
2022-12-24 8:58:55;19
2022-12-24 8:59:55;16
2022-12-24 9:0:55;12
2022-12-24 9:1:55;19
2022-12-24 9:2:55;28
2022-12-24 9:3:55;28
2022-12-24 9:4:55;15
2022-12-24 9:5:55;24
2022-12-24 9:6:55;20
2022-12-24 9:7:55;23
2022-12-24 9:8:55;21
2022-12-24 9:9:55;18
2022-12-24 9:10:55;10
2022-12-24 9:11:55;17
2022-12-24 9:12:55;26
2022-12-24 9:13:55;20
2022-12-24 9:14:55;22
2022-12-24 9:15:55;14
2022-12-24 9:16:55;10
2022-12-24 9:17:55;12
2022-12-24 9:18:55;21
2022-12-24 9:19:55;8
2022-12-24 9:20:55;15
2022-12-24 9:21:55;12
2022-12-24 9:22:55;12
2022-12-24 9:23:56;20
2022-12-24 9:24:56;13
2022-12-24 9:25:56;16
2022-12-24 9:26:56;24
2022-12-24 9:27:56;23
2022-12-24 9:28:56;25
2022-12-24 9:29:56;17
2022-12-24 9:30:56;12
2022-12-24 9:31:56;16
2022-12-24 9:32:56;12
2022-12-24 9:33:56;15
2022-12-24 9:34:56;15
2022-12-24 9:35:56;15
2022-12-24 9:36:56;15
2022-12-24 9:37:56;19
2022-12-24 9:38:56;13
2022-12-24 9:39:56;13
2022-12-24 9:40:56;21
2022-12-24 9:41:56;18
2022-12-24 9:42:56;14
2022-12-24 9:43:56;14
2022-12-24 9:44:56;26
2022-12-24 9:45:56;11
2022-12-24 9:46:56;16
2022-12-24 9:47:56;12
2022-12-24 9:48:56;22
2022-12-24 9:49:56;16
2022-12-24 9:50:56;17
2022-12-24 9:51:56;21
2022-12-24 9:52:56;10
2022-12-24 9:53:56;14
2022-12-24 9:54:56;15
2022-12-24 9:55:56;16
2022-12-24 9:56:56;21
2022-12-24 9:57:56;13
2022-12-24 9:58:56;16
2022-12-24 9:59:56;19
2022-12-24 10:0:56;16
2022-12-24 10:1:56;17
2022-12-24 10:2:56;20
2022-12-24 10:3:56;21
2022-12-24 10:4:56;16
2022-12-24 10:5:56;12
2022-12-24 10:6:56;17
2022-12-24 10:7:56;19
2022-12-24 10:8:56;14
2022-12-24 10:9:56;12
2022-12-24 10:10:56;14
2022-12-24 10:11:56;18
2022-12-24 10:12:56;11
2022-12-24 10:13:56;22
2022-12-24 10:14:56;12
2022-12-24 10:15:56;18
2022-12-24 10:16:56;18
2022-12-24 10:17:56;11
2022-12-24 10:18:56;15
2022-12-24 10:19:56;21
2022-12-24 10:20:56;13
2022-12-24 10:21:56;10
2022-12-24 10:22:56;20
2022-12-24 10:23:56;18
2022-12-24 10:24:56;17
2022-12-24 10:25:56;13
2022-12-24 10:26:56;16
2022-12-24 10:27:56;25
2022-12-24 10:28:56;7
2022-12-24 10:29:56;21
2022-12-24 10:30:56;20
2022-12-24 10:31:56;20
2022-12-24 10:32:56;14
2022-12-24 10:33:56;16
2022-12-24 10:34:56;20
2022-12-24 10:35:56;14
2022-12-24 10:36:56;16
2022-12-24 10:37:56;12
2022-12-24 10:38:56;19
2022-12-24 10:39:56;15
2022-12-24 10:40:56;16
2022-12-24 10:41:56;13
2022-12-24 10:42:56;12
2022-12-24 10:43:56;19
2022-12-24 10:44:56;17
2022-12-24 10:45:56;11
2022-12-24 10:46:56;16
2022-12-24 10:47:56;17
2022-12-24 10:48:56;18
2022-12-24 10:49:56;12
2022-12-24 10:50:56;23
2022-12-24 10:51:56;15
2022-12-24 10:52:56;13
2022-12-24 10:53:56;12
2022-12-24 10:54:56;13
2022-12-24 10:55:56;14
2022-12-24 10:56:56;16
2022-12-24 10:57:56;14
2022-12-24 10:58:56;13
2022-12-24 10:59:56;19
2022-12-24 11:0:56;15
2022-12-24 11:1:56;12
2022-12-24 11:2:56;13
2022-12-24 11:3:56;17
2022-12-24 11:4:56;17
2022-12-24 11:5:56;15
2022-12-24 11:6:56;16
2022-12-24 11:7:56;15
2022-12-24 11:8:56;16
2022-12-24 11:9:56;17
2022-12-24 11:10:56;15
2022-12-24 11:11:56;12
2022-12-24 11:12:56;15
2022-12-24 11:13:56;26
2022-12-24 11:14:56;14
2022-12-24 11:15:56;11
2022-12-24 11:16:56;15
2022-12-24 11:17:56;14
2022-12-24 11:18:56;17
2022-12-24 11:19:56;16
2022-12-24 11:20:56;14
2022-12-24 11:21:56;13
2022-12-24 11:22:56;11
2022-12-24 11:23:56;21
2022-12-24 11:24:56;17
2022-12-24 11:25:56;19
2022-12-24 11:26:56;20
2022-12-24 11:27:56;20
2022-12-24 11:28:56;20
2022-12-24 11:29:56;18
2022-12-24 11:30:56;14
2022-12-24 11:31:56;21
2022-12-24 11:32:56;17
2022-12-24 11:33:56;17
2022-12-24 11:34:56;20
2022-12-24 11:35:56;21
2022-12-24 11:36:56;18
2022-12-24 11:37:56;13
2022-12-24 11:38:56;9
2022-12-24 11:39:56;17
2022-12-24 11:40:56;18
2022-12-24 11:41:56;11
2022-12-24 11:42:56;15
2022-12-24 11:43:56;28
2022-12-24 11:44:56;25
2022-12-24 11:45:56;15
2022-12-24 11:46:56;19
2022-12-24 11:47:56;23
2022-12-24 11:48:56;11
2022-12-24 11:49:56;17
2022-12-24 11:50:56;10
2022-12-24 11:51:56;14
2022-12-24 11:52:56;16
2022-12-24 11:53:56;21
2022-12-24 11:54:56;21
2022-12-24 11:55:56;15
2022-12-24 11:56:56;14
2022-12-24 11:57:56;20
2022-12-24 11:58:56;14
2022-12-24 11:59:56;20
2022-12-24 12:0:56;21
2022-12-24 12:1:56;15
2022-12-24 12:2:56;11
2022-12-24 12:3:56;18
2022-12-24 12:4:56;17
2022-12-24 12:5:56;11
2022-12-24 12:6:56;8
2022-12-24 12:7:57;16
2022-12-24 12:8:57;12
2022-12-24 12:9:57;21
2022-12-24 12:10:57;9
2022-12-24 12:11:57;21
